id,initiative_id,brand_id,name,channel,vendor,segment,owner,sf_code,utm_source,utm_medium,utm_content,sf_id,sf_name,sf_parent_id
22222222-2222-2222-2222-222222222201,11111111-1111-1111-1111-111111111101,wenger,Prop 28 — email waves,Email,N/A (Owned),Elementary; Secondary; Purchasing,Whitney Winkels,WEN-2026-PROP28,email,email,wave4-urgency,,,
22222222-2222-2222-2222-222222222202,11111111-1111-1111-1111-111111111102,corp,TXFN — weekly email,Email,N/A (Owned),TX K-12 Athletics,Mark Mireles,CORP-2026-TXFN-EML,email,email,wave1-urgency,,,
22222222-2222-2222-2222-222222222203,11111111-1111-1111-1111-111111111103,gearboss,AirPro Elite banner,Banner Ads,LinkedIn,Athletic Directors,Pete Veal,GB-2026-ATH,linkedin,display,airpro-elite,,,
22222222-2222-2222-2222-222222222204,11111111-1111-1111-1111-111111111104,jrclancy,Rigging spotlight email,Email Sponsorship,SBO,Theatre Facilities,Whitney Winkels,JRC-2026-RIG,sbo,email,rigging-spotlight,,,
22222222-2222-2222-2222-222222222205,11111111-1111-1111-1111-111111111105,cc,Spikemark control demo,Webinar,Direct,Production Managers,Unassigned,CCN-2026-SPK,webinar,event,spikemark-demo,,,
22222222-2222-2222-2222-222222222206,11111111-1111-1111-1111-111111111106,wenger,PUPN — Wenger feature,Email Sponsorship,PUPN,Facilities Directors,Mark Mireles,WEN-2026-PUPN,pupn,email,facilities-wenger,,,
22222222-2222-2222-2222-222222222207,11111111-1111-1111-1111-111111111106,gearboss,PUPN — GearBoss feature,Email Sponsorship,PUPN,Athletic Facilities,Pete Veal,GB-2026-PUPN,pupn,email,facilities-gearboss,,,
22222222-2222-2222-2222-222222222208,11111111-1111-1111-1111-111111111107,txscenic,Stage systems search,Search Ads,Google,Higher Ed Theatre,Mark Mireles,TXS-2026-SRCH,google,cpc,stage-systems,,,
b4652d2b-becc-403c-93af-df1bb07bd956,5a17cdee-d1f8-4424-8c97-01dedfb77489,gearboss,THSCA – Announce: we’ll be there + cart giveaway,Email,N/A (Owned),Athletics,Mark Mireles,THSCA-EML,salesforce,email,thsca-s1-announce,701Pr00000nXb9UIAS,CONV THSCA Email,
28817bb9-4107-4367-b4a9-4446a40fc2ee,5a17cdee-d1f8-4424-8c97-01dedfb77489,gearboss,THSCA E1 – Save the date / early entry,Email,N/A (Owned),Athletics,Mark Mireles,GB-2026-THSCA-E1,email,email,thsca-e1-savethedate,,,
